7.27	3.06
8.29	0.52
6.98	3.16
6.37	2.41
2.13	4.98
0.81	10.82
9.57	-0.55
7.44	1.17
4.68	10.66
6.85	3.10
1.78	5.38
5.52	1.33
6.97	1.62
8.50	2.86
10.01	0.34
11.94	-0.15
2.48	4.65
10.94	13.65
7.80	1.30
2.22	9.97
0.10	10.80
10.65	-0.14
7.37	2.52
6.90	2.85
8.61	1.49
11.42	0.31
7.84	0.74
6.92	2.11
7.28	1.35
9.60	0.22
10.54	12.88
8.32	2.62
5.29	0.86
11.58	13.88
2.05	9.71
2.06	3.60
1.03	11.55
3.35	11.18
5.85	2.43
11.99	-0.32
7.89	2.17
6.12	3.25
11.34	-1.23
5.36	3.01
7.04	1.55
0.00	9.82
6.82	3.55
7.21	3.26
2.14	10.80
2.65	10.24
7.75	1.75
8.03	1.74
6.70	2.12
11.35	13.69
9.29	13.95
5.90	0.98
7.53	2.39
9.97	-0.85
10.97	0.39
-0.80	11.71
11.55	12.73
8.07	2.66
7.88	4.72
9.92	0.63
1.65	5.08
-0.59	9.73
1.58	10.32
10.65	12.03
1.37	9.36
6.77	2.37
12.41	-0.28
2.26	5.03
-0.28	8.18
1.57	4.75
10.80	13.54
7.52	2.08
11.21	14.15
8.15	2.12
1.82	10.51
11.33	-0.15
10.46	-0.35
-1.59	9.96
6.48	3.30
6.80	3.84
11.13	14.77
10.73	13.82
7.48	2.10
8.64	15.52
2.98	10.97
-0.57	9.03
7.60	0.28
10.62	-0.51
4.27	2.34
-1.80	10.01
-1.51	10.19
6.18	2.67
9.69	14.36
11.64	15.31
0.86	9.49
8.54	3.61
7.85	2.47
1.83	11.21
-0.45	10.53
5.37	3.56
10.12	-0.62
10.35	0.48
10.38	-0.66
13.17	0.41
8.13	2.30
11.34	14.58
1.39	9.68
1.77	5.17
10.39	13.64
3.10	4.52
7.83	1.25
5.11	2.60
4.91	0.43
7.84	1.94
1.92	9.82
7.12	2.03
9.79	13.56
11.40	14.57
1.69	11.19
1.21	8.98
10.65	13.15
0.20	9.23
12.23	15.21
2.69	4.93
1.04	10.54
10.71	-1.31
